Conid,Ticker,NAME,BOG_TH,SOG_TH,Avg_3M_Volume,Conid from IB excel,Primary Exchange
4931,BF B,BROWN-FORMAN 'B',0.018423212,-0.018647112,"582,014",4931,NYSE
661417,CHK,CHESAPEAKE ENERGY,0.042986767,-0.048314844,"38,376,808",661417,NYSE
9690,MLM,MARTIN MRTA.MATS.,0.032367988,-0.027984944,"772,585",9690,NYSE
9365,MAT,MATTEL,0.024,-0.021985149,"3,187,014",9365,NASDAQ
8093509,MET,METLIFE,0.042208686,-0.040769634,"7,266,667",8093509,NYSE
52424577,ATVI,ACTIVISION BLIZZARD,0.026126176,-0.028602094,"9,553,235",52424577,NASDAQ
2585769,CVS,CVS HEALTH,0.020058552,-0.021974003,"5,166,550",2585769,NYSE
661507,LH,LABORATORY CORP.OF AM. HDG.,0.016,-0.017532374,"861,739",661507,NYSE
272093,MSFT,MICROSOFT,0.019166488,-0.019681514,"32,044,628",272093,NASDAQ
9939,MU,MICRON TECHNOLOGY,0.043839112,-0.043660517,"29,885,196",9939,NASDAQ
271568,MCHP,MICROCHIP TECH.,0.021121495,-0.021553236,"2,100,091",271568,NASDAQ
9720,MMM,3M,0.015643704,-0.017482173,"1,938,079",9720,NYSE
271967,MHK,MOHAWK INDUSTRIES,0.033146644,-0.028805785,"484,701",271967,NYSE
8949,KSU,KANSAS CITY SOUTHERN,0.031815883,-0.033425687,"1,346,943",8949,NYSE
9952,MUR,MURPHY OIL,0.02900907,-0.031380552,"3,589,425",9952,NYSE
9869443,ILMN,ILLUMINA,0.033978475,-0.03083206,"1,222,248",9869443,NASDAQ
10517,XEL,XCEL ENERGY,0.014138501,-0.015734535,"3,125,665",10517,NYSE
9599491,F,FORD MOTOR,0.034773006,-0.0535,"33,562,808",9599491,NYSE
2585583,NOV,NATIONAL OILWELL VARCO,0.034161228,-0.038160421,"4,856,493",2585583,NYSE
49921110,NTAP,NETAPP,0.029,-0.026908676,"3,043,395",49921110,NASDAQ
10209,NFX,NEWFIELD EXPLORATION,0.035756216,-0.037059603,"3,366,082",10209,NYSE
10627,NWL,NEWELL RUBBERMAID,0.026902439,-0.027768227,"4,438,117",10627,NYSE
1715032,DNB,DUN & BRADSTREET DEL.,0.01811365,-0.019742544,"290,090",1715032,NYSE
10174,NEM,NEWMONT MINING,0.028871087,-0.028768247,"8,674,114",10174,NYSE
10291,NKE,NIKE 'B',0.021926829,-0.020548221,"10,690,892",10291,NYSE
10109,NBL,NOBLE ENERGY,0.02800778,-0.030184546,"3,527,212",10109,NYSE
208813720,GOOG,ALPHABET 'C',0.014271456,-0.018310221,"1,668,411",0,NASDAQ
3691937,AMZN,AMAZON.COM,0.03170015,-0.026552835,"3,814,400",3691937,NASDAQ
4065,ABT,ABBOTT LABORATORIES,0.015636493,-0.016939237,"11,356,181",4065,NYSE
2560358,AES,AES,0.03,-0.033262368,"4,612,345",2560358,NYSE
8314,IBM,INTERNATIONAL BUS.MCHS.,0.016351084,-0.016146148,"3,539,923",0,NYSE
265768,ADBE,ADOBE SYSTEMS,0.024134021,-0.024234932,"2,415,477",265768,NASDAQ
4487,APD,AIR PRDS.& CHEMS.,0.020911471,-0.020906842,"1,034,068",4487,NYSE
6366,DD,E I DU PONT DE NEMOURS,0.020845517,-0.0221635,"3,126,321",6366,NYSE
5021340,BXP,BOSTON PROPERTIES,0.035577002,-0.035243902,"755,585",5021340,NYSE
4357,ALL,ALLSTATE,0.030399548,-0.028700609,"1,884,985",4357,NYSE
