Symbol,Exchange,BBG ticker,PX_LAST,MOV_AVG_200D,VOLUME_AVG_90D,180_DAY_AVERAGE_TURNOVER_AT_TIME,CUR_MKT_CAP,TC,TC(%),AVERAGE_BID_ASK_SPREAD_%,NAME
TV,NYSE,TV US Equity, 21.14 , 25.25 ," 2,848,053 "," 62,170,632 "," 12,366,054,400 ",7.921953,0.02%,0.0499889571,GRUPO TELEVISA SA-SPON ADR
CFG,NYSE,CFG US Equity, 35.91 , 25.25 ," 5,724,102 "," 186,249,081 "," 18,381,533,701 ",7.919788217,0.02%,0.0305278576,CITIZENS FINANCIAL GROUP
PBF,NYSE,PBF US Equity, 25.12 , 25.42 ," 2,681,965 "," 56,632,611 "," 2,737,428,061 ",7.867603938,0.02%,0.0668492229,PBF ENERGY INC-CLASS A
WMB,NYSE,WMB US Equity, 32.42 , 25.43 ," 7,212,942 "," 239,858,969 "," 24,342,147,244 ",7.863613651,0.02%,0.0348719693,WILLIAMS COS INC
MENT,NASDAQ,MENT US Equity, 36.87 , 25.45 ," 2,791,996 "," 57,563,348 "," 4,069,277,488 ",7.858577148,0.02%,0.0272941434,MENTOR GRAPHICS CORP
DRE,NYSE,DRE US Equity, 27.03 , 25.49 ," 2,935,626 "," 70,365,589 "," 9,587,365,197 ",7.846922392,0.02%,0.0410456075,DUKE REALTY CORP
HBI,NYSE,HBI US Equity, 22.46 , 25.83 ," 5,239,295 "," 112,738,076 "," 8,488,648,743 ",7.741675791,0.02%,0.0483504819,HANESBRANDS INC
BRX,NYSE,BRX US Equity, 25.27 , 26.09 ," 1,795,702 "," 59,114,294 "," 7,690,194,879 ",7.666213356,0.02%,0.0491678760,BRIXMOR PROPERTY GROUP INC
SKX,NYSE,SKX US Equity, 25.03 , 26.35 ," 2,938,906 "," 77,480,974 "," 3,968,721,332 ",7.590190406,0.02%,0.0652119563,SKECHERS USA INC-CL A
BX,NYSE,BX US Equity, 30.51 , 26.41 ," 4,690,801 "," 114,877,629 "," 36,057,578,809 ",7.573964497,0.02%,0.0418843272,BLACKSTONE GROUP LP/THE
AR,NYSE,AR US Equity, 24.68 , 26.44 ," 3,336,289 "," 90,765,498 "," 7,747,972,539 ",7.563209531,0.02%,0.0475259416,ANTERO RESOURCES CORP
PWR,NYSE,PWR US Equity, 34.90 , 26.70 ," 2,147,039 "," 60,203,108 "," 5,289,145,465 ",7.489851041,0.02%,0.0396784891,QUANTA SERVICES INC
AMAT,NASDAQ,AMAT US Equity, 32.04 , 26.73 ," 11,667,680 "," 336,737,022 "," 34,493,307,093 ",7.482838531,0.02%,0.0319957837,APPLIED MATERIALS INC
DISCA,NASDAQ,DISCA US Equity, 27.48 , 26.76 ," 3,239,357 "," 89,113,751 "," 16,454,443,394 ",7.473450505,0.02%,0.0454944984,DISCOVERY COMMUNICATIONS-A
EPD,NYSE,EPD US Equity, 27.65 , 26.79 ," 4,927,828 "," 127,075,284 "," 58,181,057,115 ",7.46448292,0.02%,0.0388267799,ENTERPRISE PRODUCTS PARTNERS
WNR,NYSE,WNR US Equity, 36.27 , 26.92 ," 2,939,905 "," 82,659,592 "," 3,932,657,990 ",7.430151716,0.02%,0.0482268458,WESTERN REFINING INC
MOS,NYSE,MOS US Equity, 30.80 , 26.97 ," 5,256,109 "," 144,303,476 "," 10,787,347,309 ",7.415825519,0.02%,0.0383371355,MOSAIC CO/THE
SABR,NASDAQ,SABR US Equity, 24.86 , 27.20 ," 2,825,552 "," 75,792,112 "," 6,966,435,663 ",7.352975001,0.02%,0.0505783306,SABRE CORP
STLD,NASDAQ,STLD US Equity, 36.77 , 27.21 ," 3,620,577 "," 97,838,976 "," 8,965,086,228 ",7.349982038,0.02%,0.0354166932,STEEL DYNAMICS INC
CF,NYSE,CF US Equity, 33.47 , 27.23 ," 5,731,585 "," 164,318,307 "," 7,802,331,236 ",7.344341366,0.02%,0.0418295319,CF INDUSTRIES HOLDINGS INC
FOXA,NASDAQ,FOXA US Equity, 29.52 , 27.26 ," 11,393,910 "," 284,033,212 "," 54,234,382,244 ",7.337086673,0.02%,0.0352584175,TWENTY-FIRST CENTURY FOX-A
