Conid,Symbol,NAME,BOG_TH,SOG_TH,Exchange
4027,AAP,ADVANCE AUTO PARTS INC,0.024254069,-0.021539896,NYSE
4157,ADI,ANALOG DEVICES INC,0.022402556,-0.021315992,NASDAQ
4211,AEP,AMERICAN ELECTRIC POWER,0.015204131,-0.018051508,NYSE
4227,AFL,AFLAC INC,0.031707178,-0.034687419,NYSE
4347,ALB,ALBEMARLE CORP,0.026339207,-0.027567728,NYSE
4350,HON,HONEYWELL INTERNATIONAL INC,0.018476887,-0.020426727,NYSE
4352,ALK,ALASKA AIR GROUP INC,0.038,-0.035592255,NYSE
4357,ALL,ALLSTATE CORP,0.027697674,-0.026193159,NYSE
4487,APD,AIR PRODUCTS & CHEMICALS INC,0.019580144,-0.019626434,NYSE
4493,APH,AMPHENOL CORP-CL A,0.023081526,-0.022731134,NYSE
4661,ADP,AUTOMATIC DATA PROCESSING,0.015039066,-0.016297475,NASDAQ
4694,AVY,AVERY DENNISON CORP,0.020851519,-0.02054686,NYSE
4721,AXP,AMERICAN EXPRESS CO,0.032264368,-0.030972432,NYSE
4762,BA,BOEING CO/THE,0.019273794,-0.021102525,NYSE
4851,BCR,CR BARD INC,0.015989765,-0.015197682,NYSE
4886,BDX,BECTON DICKINSON AND CO,0.014,-0.015243243,NYSE
4901,VZ,VERIZON COMMUNICATIONS INC,0.01555971,-0.017874904,NYSE
5049,BLK,BLACKROCK INC,0.031149006,-0.028380106,NYSE
5052,BLL,BALL CORP,0.01911575,-0.019656741,NYSE
5111,BMY,BRISTOL-MYERS SQUIBB CO,0.018,-0.018768888,NYSE
5407,CAH,CARDINAL HEALTH INC,0.018,-0.019542009,NYSE
5437,CAT,CATERPILLAR INC,0.021989829,-0.02523638,NYSE
5651,CHD,CHURCH & DWIGHT CO INC,0.014222222,-0.016113753,NYSE
5684,CVX,CHEVRON CORP,0.018187103,-0.01899508,NYSE
5702,CI,CIGNA CORP,0.034134395,-0.032118675,NYSE
5749,CL,COLGATE-PALMOLIVE CO,0.01347717,-0.013841312,NYSE
5754,CLB,CORE LABORATORIES N.V.,0.029001362,-0.029261477,NYSE
5794,CLX,CLOROX COMPANY,0.014216056,-0.014063988,NYSE
5941,COF,CAPITAL ONE FINANCIAL CORP,0.049384224,-0.040301147,NYSE
5960,COO,COOPER COS INC/THE,0.025,-0.026583815,NYSE
5980,CPB,CAMPBELL SOUP CO,0.014758627,-0.014010633,NYSE
6004,CPT,CAMDEN PROPERTY TRUST,0.033918961,-0.031840237,NYSE
6120,CSL,CARLISLE COS INC,0.022367276,-0.022673913,NYSE
6207,CMI,CUMMINS INC,0.034,-0.032180629,NYSE
6327,D,DOMINION RESOURCES INC/VA,0.014561738,-0.015839501,NYSE
6393,DE,DEERE & CO,0.026934166,-0.027312039,NYSE
6437,TGT,TARGET CORP,0.02480574,-0.022534247,NYSE
6442,DHR,DANAHER CORP,0.017518115,-0.017094517,NYSE
6459,DIS,WALT DISNEY CO/THE,0.019795823,-0.018838167,NYSE
6497,MCO,MOODY'S CORP,0.033911366,-0.032603788,NYSE
6517,DOV,DOVER CORP,0.022134868,-0.021297072,NYSE
6585,DTE,DTE ENERGY COMPANY,0.014265893,-0.016125628,NYSE
6630,DY,DYCOM INDUSTRIES INC,0.038157876,-0.03820563,NYSE
6682,ECL,ECOLAB INC,0.016697911,-0.017015733,NYSE
6691,ED,CONSOLIDATED EDISON INC,0.012,-0.013797032,NYSE
6735,EFX,EQUIFAX INC,0.018079277,-0.017914916,NYSE
6832,EMN,EASTMAN CHEMICAL CO,0.023105035,-0.023558545,NYSE
6842,EMR,EMERSON ELECTRIC CO,0.020562597,-0.02060452,NYSE
6890,EOG,EOG RESOURCES INC,0.02782469,-0.0288533,NYSE
6917,EQR,EQUITY RESIDENTIAL,0.0365,-0.032819315,NYSE
6969,ETR,ENTERGY CORP,0.016650493,-0.018370858,NYSE
7361,FRT,FEDERAL REALTY INVS TRUST,0.030108696,-0.028376899,NYSE
7496,GD,GENERAL DYNAMICS CORP,0.017,-0.018385233,NYSE
7616,GIS,GENERAL MILLS INC,0.012676576,-0.01311299,NYSE
7745,GPC,GENUINE PARTS CO,0.01669979,-0.017096774,NYSE
7867,GWW,WW GRAINGER INC,0.019946575,-0.01916318,NYSE
7930,HD,HOME DEPOT INC,0.022963855,-0.020953452,NYSE
8097,HP,HELMERICH & PAYNE,0.031501247,-0.033936044,NYSE
8160,HRS,HARRIS CORP,0.021,-0.024118888,NYSE
8199,HSY,HERSHEY CO/THE,0.016686275,-0.014663805,NYSE
8251,HUM,HUMANA INC,0.03099388,-0.029449827,NYSE
8314,IBM,INTL BUSINESS MACHINES CORP,0.015682136,-0.015271721,NYSE
8385,IFF,INTL FLAVORS & FRAGRANCES,0.017357403,-0.017625929,NYSE
8620,ITW,ILLINOIS TOOL WORKS,0.018926347,-0.018911572,NYSE
8719,JNJ,JOHNSON & JOHNSON,0.011,-0.012595217,NYSE
8758,K,KELLOGG CO,0.012910561,-0.013611872,NYSE
8864,KMB,KIMBERLY-CLARK CORP,0.012162617,-0.013036624,NYSE
8949,KSU,KANSAS CITY SOUTHERN,0.029949495,-0.031195799,NYSE
9160,LLY,ELI LILLY & CO,0.015832101,-0.017165965,NYSE
9199,LOW,LOWE'S COS INC,0.025982439,-0.021878547,NYSE
9317,MAA,MID-AMERICA APARTMENT COMM,0.031,-0.028490552,NYSE
9322,MAC,MACERICH CO/THE,0.056,-0.050117028,NYSE
9355,MAN,MANPOWERGROUP INC,0.025815901,-0.027092358,NYSE
9358,MAR,MARRIOTT INTERNATIONAL -CL A,0.02858365,-0.02604305,NASDAQ
9408,MCD,MCDONALD'S CORP,0.015029493,-0.014924007,NYSE
9657,MCK,MCKESSON CORP,0.018397562,-0.021580083,NYSE
9690,MLM,MARTIN MARIETTA MATERIALS,0.030985087,-0.026663344,NYSE
9705,MMC,MARSH & MCLENNAN COS,0.024539936,-0.018276762,NYSE
9720,MMM,3M CO,0.01488049,-0.016557447,NYSE
9769,MO,ALTRIA GROUP INC,0.014096887,-0.015610218,NYSE
10291,NKE,NIKE INC -CL B,0.020485685,-0.01964641,NYSE
10376,NOC,NORTHROP GRUMMAN CORP,0.016692978,-0.017400038,NYSE
10497,NSC,NORFOLK SOUTHERN CORP,0.024271293,-0.024878788,NYSE
10672,O,REALTY INCOME CORP,0.02714966,-0.028233679,NYSE
10811,OMC,OMNICOM GROUP,0.017710481,-0.0182836,NYSE
10880,OXY,OCCIDENTAL PETROLEUM CORP,0.023936357,-0.026346464,NYSE
11020,SRE,SEMPRA ENERGY,0.016447602,-0.017731707,NYSE
11054,PG,PROCTER & GAMBLE CO/THE,0.013,-0.014548318,NYSE
11094,PH,PARKER HANNIFIN CORP,0.022299929,-0.023436853,NYSE
11240,PNC,PNC FINANCIAL SERVICES GROUP,0.036370582,-0.033716298,NYSE
11257,PNW,PINNACLE WEST CAPITAL,0.01461968,-0.016751592,NYSE
11295,PPG,PPG INDUSTRIES INC,0.019461008,-0.019725389,NYSE
11450,PX,PRAXAIR INC,0.02,-0.018890162,NYSE
11478,R,RYDER SYSTEM INC,0.028,-0.026651007,NYSE
11520,RCL,ROYAL CARIBBEAN CRUISES LTD,0.037489635,-0.038696676,NYSE
11574,REG,REGENCY CENTERS CORP,0.034364331,-0.032276869,NYSE
11656,RJF,RAYMOND JAMES FINANCIAL INC,0.034484735,-0.033471264,NYSE
11697,ROK,ROCKWELL AUTOMATION INC,0.024958767,-0.025027088,NYSE
11758,RTN,RAYTHEON COMPANY,0.016807766,-0.016310896,NYSE
11899,EIX,EDISON INTERNATIONAL,0.016363562,-0.018734006,NYSE
11902,SCG,SCANA CORP,0.014025078,-0.015946137,NYSE
12002,PSA,PUBLIC STORAGE,0.030762969,-0.026596772,NYSE
12120,SHW,SHERWIN-WILLIAMS CO/THE,0.023,-0.020049768,NYSE
12200,SLB,SCHLUMBERGER LTD,0.02433981,-0.027101406,NYSE
12225,AOS,SMITH (A.O.) CORP,0.027952381,-0.025558753,NYSE
12259,SNA,SNAP-ON INC,0.022,-0.021086957,NYSE
12750,TFX,TELEFLEX INC,0.018,-0.019134231,NYSE
12786,THO,THOR INDUSTRIES INC,0.033638725,-0.030771483,NYSE
12791,TIF,TIFFANY & CO,0.029333657,-0.027310781,NYSE
12814,TJX,TJX COMPANIES INC,0.023,-0.020233559,NYSE
12869,TMO,THERMO FISHER SCIENTIFIC INC,0.019208803,-0.020543809,NYSE
13096,TXN,TEXAS INSTRUMENTS INC,0.022434749,-0.020746888,NASDAQ
13206,UHS,UNIVERSAL HEALTH SERVICES-B,0.024199536,-0.023480447,NYSE
13272,UNH,UNITEDHEALTH GROUP INC,0.025746193,-0.026883287,NYSE
13284,UNP,UNION PACIFIC CORP,0.023842212,-0.02418382,NYSE
13364,UTX,UNITED TECHNOLOGIES CORP,0.016,-0.017088192,NYSE
13379,WM,WASTE MANAGEMENT INC,0.01678215,-0.018456376,NYSE
13400,VAR,VARIAN MEDICAL SYSTEMS INC,0.020779783,-0.022907205,NYSE
13440,VFC,VF CORP,0.02167912,-0.021978142,NYSE
13497,VLO,VALERO ENERGY CORP,0.027848112,-0.033584736,NYSE
13515,VMC,VULCAN MATERIALS CO,0.034,-0.028966094,NYSE
13535,VNO,VORNADO REALTY TRUST,0.034835116,-0.035910762,NYSE
13751,WHR,WHIRLPOOL CORP,0.030591728,-0.030083234,NYSE
13824,WMT,WAL-MART STORES INC,0.014297933,-0.014135024,NYSE
13977,XOM,EXXON MOBIL CORP,0.016944397,-0.01692178,NYSE
14025,FL,FOOT LOCKER INC,0.03,-0.030725648,NYSE
265598,AAPL,APPLE INC,0.022588256,-0.027118185,NASDAQ
265681,ADSK,AUTODESK INC,0.027286439,-0.028218014,NASDAQ
265768,ADBE,ADOBE SYSTEMS INC,0.023482029,-0.023498899,NASDAQ
266145,AMGN,AMGEN INC,0.018345876,-0.019687933,NASDAQ
267265,CASY,CASEY'S GENERAL STORES INC,0.024,-0.023233115,NASDAQ
267455,CELG,CELGENE CORP,0.024745401,-0.026742289,NASDAQ
267475,CERN,CERNER CORP,0.024531067,-0.022681378,NASDAQ
267748,CMCSA,COMCAST CORP-CLASS A,0.022961051,-0.023653951,NASDAQ
268149,CTAS,CINTAS CORP,0.02,-0.017442623,NASDAQ
268995,EA,ELECTRONIC ARTS INC,0.029095768,-0.026457711,NASDAQ
269315,FISV,FISERV INC,0.018,-0.017270733,NASDAQ
269753,GILD,GILEAD SCIENCES INC,0.021,-0.023472821,NASDAQ
270413,IDXX,IDEXX LABORATORIES INC,0.023096282,-0.020606426,NASDAQ
270662,INTU,INTUIT INC,0.020254625,-0.018229885,NASDAQ
270825,JBHT,HUNT (JB) TRANSPRT SVCS INC,0.026578947,-0.024036054,NASDAQ
270957,KLAC,KLA-TENCOR CORP,0.025667185,-0.023998369,NASDAQ
271308,LRCX,LAM RESEARCH CORP,0.03,-0.027386156,NASDAQ
271556,MKC,MCCORMICK & CO-NON VTG SHRS,0.013,-0.014288904,NYSE
272093,MSFT,MICROSOFT CORP,0.01829932,-0.018519223,NASDAQ
272565,NTRS,NORTHERN TRUST CORP,0.026678031,-0.027841496,NASDAQ
272942,PAYX,PAYCHEX INC,0.016823181,-0.016686043,NASDAQ
272992,PCAR,PACCAR INC,0.026831919,-0.026283209,NASDAQ
272997,COST,COSTCO WHOLESALE CORP,0.017761141,-0.017450579,NASDAQ
273544,QCOM,QUALCOMM INC,0.021337237,-0.022659932,NASDAQ
273939,ROST,ROSS STORES INC,0.024,-0.021515081,NASDAQ
274027,SAFM,SANDERSON FARMS INC,0.032,-0.027789059,NASDAQ
274105,SBUX,STARBUCKS CORP,0.025847584,-0.02227414,NASDAQ
275321,TROW,T ROWE PRICE GROUP INC,0.031,-0.030199085,NASDAQ
275405,TSN,TYSON FOODS INC-CL A,0.027656126,-0.029142857,NYSE
275850,VRTX,VERTEX PHARMACEUTICALS INC,0.035666667,-0.03399676,NASDAQ
276066,STZ,CONSTELLATION BRANDS INC-A,0.023073892,-0.023007752,NYSE
611191,LMT,LOCKHEED MARTIN CORP,0.016624484,-0.017724977,NYSE
611242,PII,POLARIS INDUSTRIES INC,0.031790869,-0.03027325,NYSE
661440,DRI,DARDEN RESTAURANTS INC,0.026804087,-0.024342112,NYSE
661507,LH,LABORATORY CRP OF AMER HLDGS,0.015482856,-0.016932633,NYSE
661633,WAB,WABTEC CORP,0.02819576,-0.027773807,NYSE
754956,HAS,HASBRO INC,0.023,-0.021660589,NASDAQ
1035459,DVA,DAVITA INC,0.020107852,-0.018779888,NYSE
1448477,EL,ESTEE LAUDER COMPANIES-CL A,0.021244336,-0.019692891,NYSE
1448494,WAT,WATERS CORP,0.02125628,-0.019593502,NYSE
1520593,JPM,JPMORGAN CHASE & CO,0.033182047,-0.031515143,NYSE
1714996,ABC,AMERISOURCEBERGEN CORP,0.018525641,-0.019480443,NYSE
1767080,CTXS,CITRIX SYSTEMS INC,0.025283019,-0.025826685,NASDAQ
1847145,FDS,FACTSET RESEARCH SYSTEMS INC,0.021,-0.024154341,NYSE
2008216,MSM,MSC INDUSTRIAL DIRECT CO-A,0.023174852,-0.023226233,NYSE
2009113,SPG,SIMON PROPERTY GROUP INC,0.036212527,-0.033439873,NYSE
2459465,DGX,QUEST DIAGNOSTICS INC,0.017,-0.01833372,NYSE
2585323,MTB,M & T BANK CORP,0.031859409,-0.030074074,NYSE
2585629,ROP,ROPER TECHNOLOGIES INC,0.022165568,-0.021301679,NYSE
2585769,CVS,CVS HEALTH CORP,0.019633117,-0.020766454,NYSE
2586035,PCG,P G & E CORP,0.016214652,-0.016331325,NYSE
2586156,KMX,CARMAX INC,0.034789474,-0.033244813,NYSE
2586162,MTN,VAIL RESORTS INC,0.034578588,-0.03154386,NYSE
2730980,STT,STATE STREET CORP,0.039570062,-0.038762115,NYSE
2746144,ALV,AUTOLIV INC,0.021021904,-0.024746202,NYSE
3142097,PXD,PIONEER NATURAL RESOURCES CO,0.031666667,-0.032549907,NYSE
3206042,YUM,YUM! BRANDS INC,0.021,-0.019427006,NYSE
3629755,URI,UNITED RENTALS INC,0.041142857,-0.044377358,NYSE
3655640,HSIC,HENRY SCHEIN INC,0.017333102,-0.016393913,NASDAQ
4044062,VTR,VENTAS INC,0.029896485,-0.036911717,NYSE
4172987,CHKP,CHECK POINT SOFTWARE TECH,0.021442368,-0.020715472,NASDAQ
4173050,VRSN,VERISIGN INC,0.029184845,-0.024769806,NASDAQ
4369855,INCY,INCYTE CORP,0.044280992,-0.043997783,NASDAQ
4430948,SYK,STRYKER CORP,0.016850622,-0.019173519,NYSE
4457287,IT,GARTNER INC,0.026446933,-0.025838966,NYSE
4528615,AN,AUTONATION INC,0.041223301,-0.031263849,NYSE
4627828,GS,GOLDMAN SACHS GROUP INC,0.028741519,-0.031510068,NYSE
4726021,SWKS,SKYWORKS SOLUTIONS INC,0.033421468,-0.035382716,NASDAQ
4726176,ALXN,ALEXION PHARMACEUTICALS INC,0.029360861,-0.027924328,NASDAQ
4726368,ANSS,ANSYS INC,0.02542539,-0.024302026,NASDAQ
4728759,CTSH,COGNIZANT TECH SOLUTIONS-A,0.025,-0.027016383,NASDAQ
4817352,RMD,RESMED INC,0.021035363,-0.019707158,NYSE
5019164,WSM,WILLIAMS-SONOMA INC,0.03609901,-0.031237056,NYSE
5021340,BXP,BOSTON PROPERTIES INC,0.032510099,-0.032385201,NYSE
5026974,AVB,AVALONBAY COMMUNITIES INC,0.032821951,-0.030190083,NYSE
5090107,RHT,RED HAT INC,0.03,-0.026962547,NYSE
5100583,FDX,FEDEX CORP,0.021048351,-0.021597215,NYSE
6220356,AKAM,AKAMAI TECHNOLOGIES INC,0.032384289,-0.031433155,NASDAQ
6231002,UPS,UNITED PARCEL SERVICE-CL B,0.016065975,-0.01643804,NYSE
6246667,SBAC,SBA COMMUNICATIONS CORP-CL A,0.030608764,-0.030415337,NASDAQ
6248713,FFIV,F5 NETWORKS INC,0.033622047,-0.029638231,NASDAQ
