Conid,Date,Symbol,NAME,BOG_TH,SOG_TH,Exchange,alpha,beta,R11,R12,R22
107113386,29/04/2018,FB,FACEBOOK INC-A,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13824,29/04/2018,WMT,WALMART INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
272093,29/04/2018,MSFT,MICROSOFT CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10557,29/04/2018,INTC,INTEL CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
265598,29/04/2018,AAPL,APPLE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
1520593,29/04/2018,JPM,JPMORGAN CHASE & CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
49462172,29/04/2018,V,VISA INC-CLASS A SHARES,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
8719,29/04/2018,JNJ,JOHNSON & JOHNSON,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
35447205,29/04/2018,C,CITIGROUP INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13977,29/04/2018,XOM,EXXON MOBIL CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5946,29/04/2018,ORCL,ORACLE CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
13949,29/04/2018,CSCO,CISCO SYSTEMS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7935,29/04/2018,WFC,WELLS FARGO & CO,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
5684,29/04/2018,CVX,CHEVRON CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
7930,29/04/2018,HD,HOME DEPOT INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
4901,29/04/2018,VZ,VERIZON COMMUNICATIONS INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
6459,29/04/2018,DIS,WALT DISNEY CO/THE,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
118089500,29/04/2018,ABBV,ABBVIE INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
10098,29/04/2018,BAC,BANK OF AMERICA CORP,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
70101545,29/04/2018,MRK,MERCK & CO. INC.,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
287025078,29/04/2018,DWDP,DOWDUPONT INC,1,-1,NYSE,-0.002140848,0.188599861,0.001621273,0.00062003,0.187268891
